Country Name,Country Code,Indicator Name,Indicator Code,2009,2010,2011,2012,2013,2014,2015,2016,2017
Poland,POL,"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,0.564254953876913,0.594042045343083,0.661418820488131,0.555839351611732,0.429782269647363,0.463242418192993,0.563012610100069,0.357060542833611,0.472678467989749
Poland,POL,Battle-related deaths (number of people),VC.BTL.DETH,40.32952127576655,40.34441482149964,40.47155566268547,41.59247198293477,39.88625115069283,41.3646244439598,41.16820598156369,37.370649869805455,36.44323696959058
Poland,POL,Voice and Accountability: Percentile Rank,VA.PER.RNK,80.0947875976562,80.0947875976562,80.2816925048828,82.6291046142578,79.3427200317383,82.2660064697266,81.7733993530273,74.3842391967773,72.4137954711914
Poland,POL,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,27.3967289417545,23.9501255519958,25.7140709561034,25.8734442944969,26.10888252149,26.037244104418,25.7708101731062,25.9299556577435,25.8795880279256
Poland,POL,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,41.2631715042989,46.2406557566312,45.1192623772299,44.6868595991403,45.8704871060172,47.3517171802093,48.3993919731379,49.4375102644112,49.6595700559895
Poland,POL,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,0.133709098352865,0.173692681796829,0.213049051345495,0.282727309932061,0.283360000390183,0.22075141330231,0.401992177738495,0.225325717187477,0.155935534467751
Poland,POL,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,0.35610111344246,0.522016462670214,0.571387989361082,0.74705609295805,0.710567924519099,0.64014900205406,0.710738393664249,0.613655170079041,0.670584239473639
Poland,POL,Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,86.6291791267921,85.6656108204727,85.3807037432248,83.3945270338617,83.125942743084,85.5020819392689,87.2131824551536,87.331060357085,87.2869424109505
Poland,POL,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,80.7907394110112,79.1084335040355,77.914449516207,76.4720312302838,76.6388374227593,77.5986005491831,78.7541655459572,80.2247333184309,79.7937323446367
Poland,POL,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,11.3107633216251,10.8019870283132,10.7522278877165,11.9880474043356,12.8435313938075,12.7598023103262,12.863223838203,12.6508100153568,13.0234390494258
